a, 0.0566, 0.1668, 0.124, 0.0645, 0.037
b, 0.0783, 0.0044, 0.0196, 0.0152, 0.0036
c, 0.0812, 0.0123, 0.0276, 0.0558, 0.0109
d, 0.0508, 0.0102, 0.0305, 0.045, 0.0638
e, 0.029, 0.1168, 0.0769, 0.182, 0.145
f, 0.0573, 0.0022, 0.0058, 0.0087, 0.0065
g, 0.0341, 0.0036, 0.0305, 0.0247, 0.0123
h, 0.0312, 0.0616, 0.0044, 0.0138, 0.0457
i, 0.016, 0.108, 0.0957, 0.0711, 0.0073
j, 0.0167, 0.0, 0.0022, 0.0, 0.0
k, 0.0167, 0.0029, 0.0138, 0.0305, 0.029
l, 0.0522, 0.0696, 0.0696, 0.0667, 0.0457
m, 0.0551, 0.0123, 0.0283, 0.0268, 0.0131
n, 0.0196, 0.0254, 0.0841, 0.079, 0.0595
o, 0.0167, 0.1552, 0.0906, 0.0486, 0.0268
p, 0.0573, 0.0225, 0.0189, 0.0203, 0.0073
q, 0.0073, 0.0015, 0.0, 0.0015, 0.0
r, 0.0428, 0.0972, 0.0848, 0.066, 0.0674
s, 0.1269, 0.0123, 0.0348, 0.0508, 0.2451
t, 0.0754, 0.0254, 0.0508, 0.0711, 0.079
u, 0.0109, 0.0595, 0.0479, 0.0239, 0.0007
v, 0.0167, 0.0044, 0.0268, 0.0145, 0.0
w, 0.0399, 0.0102, 0.0073, 0.0094, 0.0044
x, 0.0022, 0.0044, 0.0102, 0.0007, 0.0073
y, 0.008, 0.0102, 0.0109, 0.0058, 0.0819
z, 0.0015, 0.0015, 0.0044, 0.0036, 0.0007
