Rank, Word, Likelihood 
1, sales, 6.57175867717824e-05
2, bones, 4.558943123017919e-05
3, tones, 4.39009337772096e-05
4, tales, 3.9047328940838395e-05
5, fares, 3.61544050917504e-05
6, lanes, 3.266459247935521e-05
7, seats, 3.202868159210881e-05
8, shoes, 3.15925899857568e-05
9, tries, 3.1287023458891195e-05
10, sites, 3.1057306574112e-05
11, tires, 3.0803896311552e-05
12, sorts, 2.9104631385776643e-05
13, males, 2.8534586533689606e-05
14, boats, 2.6259598169222393e-05
15, saves, 2.5305047779939204e-05
16, tiles, 2.5282443199104e-05
17, trees, 2.51407743363504e-05
18, fires, 2.3409327037824e-05
19, coins, 2.3352322864147197e-05
20, mines, 2.2324721478696002e-05
21, beans, 2.1958197781823998e-05
22, lines, 2.1149736137712003e-05
23, cases, 2.1025484814297597e-05
24, wales, 2.0662976455430398e-05
25, roles, 2.0623360091443197e-05
26, bases, 2.0274574642358396e-05
27, beats, 1.9762378003641597e-05
28, loans, 1.9451554199424007e-05
29, files, 1.9213315587647998e-05
30, dates, 1.92016332353664e-05
31, boots, 1.9186448339770558e-05
32, sides, 1.8646611230520002e-05
33, miles, 1.8475631568575997e-05
34, bears, 1.8344823463296e-05
35, tears, 1.7665385557248e-05
36, trans, 1.7596637948448e-05
37, tools, 1.733246794334016e-05
38, codes, 1.7145978892224e-05
39, carey, 1.71199786028544e-05
40, sells, 1.686486424489344e-05
41, tunes, 1.6830577060206e-05
42, wires, 1.6300735581312e-05
43, rates, 1.61777539857024e-05
44, wines, 1.6166177622504e-05
45, comes, 1.5909219759014398e-05
46, means, 1.5452065105728003e-05
47, souls, 1.542261430110384e-05
48, calls, 1.5410987221029117e-05
49, holes, 1.5033851281612801e-05
50, fails, 1.4953117680749159e-05
51, genes, 1.49419719505056e-05
52, balls, 1.4860594820278077e-05
53, pairs, 1.4796188409736799e-05
54, mails, 1.4379001469620921e-05
55, tions, 1.4285442635568e-05
56, parts, 1.4124056055073918e-05
57, paris, 1.4124056055073918e-05
58, pants, 1.4007465969713637e-05
59, slots, 1.3944789772719839e-05
60, cents, 1.3899775305548159e-05
61, sends, 1.3748530634424e-05
62, fears, 1.3424755867775999e-05
63, moses, 1.3275083423347202e-05
64, pools, 1.317175614261792e-05
65, ports, 1.3141807552442882e-05
66, teens, 1.31132678151072e-05
67, meals, 1.30462372474944e-05
